2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	10	2	2	2	2	2	2	2	2	2	2	2	2	10	2	1
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	3	11	11	11	11	11	11	11	11	11	11	11	11	3	11	3
24	24	24	26	26	25	24	25	25	24	26	24	26	24	24	24	3	24	24	26	24	26	24	24	24	24	26	24	24	3	24	3
17	24	0	2	2	2	10	2	19	2	1	24	17	26	17	24	4	2	2	2	7	26	0	2	2	2	2	1	24	18	26	3
3	24	3	11	11	11	3	13	12	14	3	24	3	26	3	25	15	11	15	11	11	26	3	11	11	15	11	3	24	11	24	3
3	26	3	24	24	24	3	25	25	24	3	24	3	26	3	24	24	25	26	24	26	24	3	26	26	24	24	3	24	24	24	3
3	24	18	24	0	2	5	24	17	25	8	2	5	24	8	2	10	2	19	2	2	2	16	24	6	2	10	9	2	7	24	3
3	25	11	24	3	11	11	24	3	26	3	11	11	24	3	11	3	13	12	14	11	15	3	26	11	11	3	11	11	15	24	3
3	24	26	26	3	25	26	25	3	24	3	26	26	26	3	24	3	24	24	24	24	26	3	26	24	26	18	22	23	24	24	3
8	2	7	25	3	25	0	2	16	26	3	26	0	2	5	24	3	24	0	2	7	24	3	24	26	24	11	20	21	0	2	16
3	11	11	26	3	26	3	11	3	24	3	26	3	11	11	24	3	24	3	11	11	25	3	26	17	24	24	24	24	3	11	3
3	26	25	24	3	24	3	25	18	24	3	26	3	24	26	26	3	24	3	24	24	26	18	24	4	2	2	19	2	5	25	3
3	24	6	2	16	24	3	24	11	24	3	25	4	2	1	26	18	24	8	2	1	24	11	24	11	11	13	12	14	11	24	3
3	26	11	11	3	24	3	24	24	26	3	25	11	11	3	26	11	24	3	11	3	25	26	24	24	26	26	26	24	26	24	3
3	25	24	24	3	24	4	19	1	25	3	24	25	26	3	26	24	26	3	24	18	24	0	2	2	2	2	2	2	7	24	3
8	2	1	24	3	25	13	12	3	26	4	2	1	26	3	24	6	2	16	24	11	24	3	11	11	11	11	11	11	11	24	3
3	11	3	25	3	25	26	24	3	25	15	11	3	25	3	24	11	11	3	26	24	24	3	26	24	25	24	26	25	26	26	3
3	24	18	24	4	2	1	24	3	26	26	24	3	26	3	26	26	24	4	2	2	2	16	25	6	2	19	2	2	1	24	3
3	24	11	24	11	11	3	24	8	2	1	24	3	24	8	2	1	24	13	12	14	11	3	25	11	13	12	14	11	3	24	3
3	25	24	26	25	26	3	26	3	11	3	26	3	24	3	11	3	24	25	24	24	24	3	24	24	24	26	26	24	3	24	3
8	2	19	2	2	2	5	24	3	26	18	24	18	24	3	24	4	2	2	2	7	24	4	2	2	2	2	7	24	3	24	18
3	13	12	14	15	11	11	24	3	25	11	25	11	24	3	26	15	11	11	15	11	26	15	11	15	11	11	11	25	3	24	11
3	24	24	24	24	24	26	25	3	24	26	25	24	24	3	24	24	24	24	24	24	24	24	24	24	24	24	26	24	3	24	24
4	2	2	2	2	2	2	2	9	2	2	2	2	2	9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	9	2	2
